fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality,quality_category,so2_ratio,acid_alcohol_balance,sugar_acid_ratio
7.9,0.24,0.4,1.6,0.056,11.0,25.0,0.9967,3.32,0.87,8.7,6.0,1.0,0.4230769230769231,36.09958506224066,0.2025060118972282
9.1,0.28,0.48,1.8,0.067,26.0,46.0,0.9967,3.32,0.9999999999999999,10.6,6.0,1.0,0.5531914893617021,37.722419928825616,0.19778046368530933
7.4,0.55,0.22,2.2,0.106,12.0,72.0,0.9959,3.05,0.63,9.2,5.0,1.0,0.1643835616438356,16.69691470054446,0.29725712741521415
12.349999999999998,0.41,0.63,3.6500000000000004,0.089,6.0,47.0,1.0011875,3.01,0.81,10.8,6.0,1.0,0.125,26.277372262773724,0.29552262974657934
11.5,0.54,0.71,3.6500000000000004,0.11999999999999998,6.0,15.0,0.9984,3.01,0.83,11.8,7.0,2.0,0.375,21.811460258780038,0.31736370750369536
11.5,0.45,0.5,3.0,0.078,19.0,47.0,1.0003,3.26,0.9999999999999999,11.0,6.0,1.0,0.3958333333333333,24.390243902439025,0.2608468828797496
9.4,0.27,0.53,2.4,0.074,6.0,18.0,0.9962,3.2,0.9999999999999999,12.0,7.0,2.0,0.3157894736842105,44.28044280442804,0.25529199021380705
11.4,0.625,0.66,3.6500000000000004,0.088,6.0,24.0,0.9988,3.11,0.99,13.3,6.0,1.0,0.24,21.24600638977636,0.32014735549513207
8.3,0.42,0.38,2.5,0.094,24.0,60.0,0.9979,3.31,0.7,10.8,6.0,1.0,0.39344262295081966,25.653206650831358,0.3011685339115769
8.3,0.26,0.42,2.0,0.08,11.0,27.0,0.9974,3.21,0.8,9.4,6.0,1.0,0.39285714285714285,36.015325670498086,0.24093482712926154
12.349999999999998,0.415,0.68,2.9,0.085,17.0,43.0,1.0011875,3.06,0.8,10.0,6.0,1.0,0.38636363636363635,24.03846153846154,0.23479880171646025
8.3,0.26,0.42,2.0,0.08,11.0,27.0,0.9974,3.21,0.8,9.4,6.0,1.0,0.39285714285714285,36.015325670498086,0.24093482712926154
8.3,0.26,0.42,2.0,0.08,11.0,27.0,0.9974,3.21,0.8,9.4,6.0,1.0,0.39285714285714285,36.015325670498086,0.24093482712926154
7.7,0.51,0.28,2.1,0.087,23.0,54.0,0.998,3.42,0.74,9.2,5.0,1.0,0.41818181818181815,18.003913894324853,0.2726918582002337
7.4,0.63,0.07,2.4,0.09,11.0,37.0,0.9979,3.43,0.76,9.7,6.0,1.0,0.2894736842105263,15.372424722662439,0.32428050263477903
7.8,0.54,0.26,2.0,0.088,23.0,48.0,0.9981,3.41,0.74,9.2,6.0,1.0,0.46938775510204084,17.005545286506468,0.25637738751442124
8.3,0.66,0.15,1.9,0.079,17.0,42.0,0.9972,3.31,0.54,9.6,6.0,1.0,0.3953488372093023,14.523449319213311,0.22888808577279846
7.8,0.46,0.26,1.9,0.088,23.0,53.0,0.9981,3.43,0.74,9.2,6.0,1.0,0.42592592592592593,19.956616052060735,0.24355851813870016
9.6,0.38,0.31,2.5,0.096,16.0,49.0,0.9982,3.19,0.7,10.0,7.0,2.0,0.32,26.246719160104988,0.26038954275596293
5.6,0.85,0.05,1.4,0.045,12.0,88.0,0.9924,3.56,0.82,12.9,7.5,,0.1348314606741573,15.158636897767334,0.2499553651133726
12.349999999999998,0.415,0.68,2.9,0.085,17.0,43.0,1.0011875,3.06,0.8,10.0,6.0,1.0,0.38636363636363635,24.03846153846154,0.23479880171646025
9.5,0.37,0.52,2.0,0.082,6.0,26.0,0.998,3.18,0.51,9.5,5.0,1.0,0.2222222222222222,25.60646900269542,0.2105041574571098
8.4,0.665,0.61,2.0,0.112,13.0,95.0,0.997,3.16,0.54,9.1,5.0,1.0,0.13541666666666666,13.663663663663662,0.23806689679800025
12.349999999999998,0.6,0.65,2.3,0.063,6.0,25.0,0.9997,3.03,0.57,9.9,5.0,1.0,0.23076923076923078,16.472545757071547,0.18621973929236502
12.0,0.37,0.76,3.6500000000000004,0.066,7.0,38.0,1.0004,3.22,0.6,13.0,7.0,2.0,0.1794871794871795,35.04043126684636,0.304141321556537
6.6,0.735,0.02,3.6500000000000004,0.11999999999999998,42.0,122.0,0.9994,3.47,0.53,9.9,5.0,1.0,0.34146341463414637,13.45108695652174,0.5529465232540525
11.5,0.59,0.59,2.6,0.087,13.0,49.0,0.9988,3.18,0.65,11.0,6.0,1.0,0.26,18.61252115059222,0.226067298495783
11.5,0.59,0.59,2.6,0.087,13.0,49.0,0.9988,3.18,0.65,11.0,6.0,1.0,0.26,18.61252115059222,0.226067298495783
8.7,0.765,0.22,2.3,0.064,9.0,42.0,0.9963,3.1,0.55,9.4,5.0,1.0,0.20930232558139536,12.27154046997389,0.2643374324790254
6.6,0.735,0.02,3.6500000000000004,0.11999999999999998,42.0,122.0,0.9994,3.47,0.53,9.9,5.0,1.0,0.34146341463414637,13.45108695652174,0.5529465232540525
7.7,0.26,0.3,1.7,0.059,20.0,38.0,0.9949,3.29,0.47,10.8,6.0,1.0,0.5128205128205128,41.37931034482759,0.22075055187637968
12.2,0.48,0.54,2.6,0.085,19.0,64.0,1.0,3.1,0.61,10.5,6.0,1.0,0.2923076923076923,21.82952182952183,0.21309728710761416
11.4,0.6,0.49,2.7,0.085,10.0,41.0,0.9994,3.15,0.63,10.5,6.0,1.0,0.23809523809523808,17.470881863560734,0.23682133146215245
7.7,0.69,0.05,2.7,0.075,15.0,27.0,0.9974,3.26,0.61,9.1,5.0,1.0,0.5357142857142857,13.16931982633864,0.3506038176860148
8.7,0.31,0.46,1.4,0.059,11.0,25.0,0.9966,3.36,0.76,10.1,6.0,1.0,0.4230769230769231,32.47588424437299,0.16090104585679807
9.8,0.44,0.47,2.5,0.063,9.0,28.0,0.9981,3.24,0.65,10.8,6.0,1.0,0.3103448275862069,24.48979591836735,0.2550760126517702
12.0,0.39,0.66,3.0,0.093,12.0,30.0,0.9996,3.18,0.63,10.8,7.0,2.0,0.3870967741935484,27.62148337595908,0.24997916840263312
10.4,0.34,0.58,3.6500000000000004,0.11999999999999998,6.0,16.0,0.997,3.19,0.7,11.3,6.0,1.0,0.35294117647058826,33.13782991202346,0.3509277954042881
12.349999999999998,0.46,0.49,3.6500000000000004,0.07,26.0,49.0,0.9981,3.05,0.57,9.6,4.0,0.0,0.52,20.824295010845987,0.29552262974657934
9.0,0.43,0.34,2.5,0.08,26.0,86.0,0.9987,3.38,0.62,9.5,6.0,1.0,0.2988505747126437,22.041763341067284,0.2777469170092212
9.1,0.45,0.35,2.4,0.08,23.0,78.0,0.9987,3.38,0.62,9.5,5.0,1.0,0.2911392405063291,21.06430155210643,0.26370728491374573
7.1,0.735,0.16,1.9,0.1,15.0,77.0,0.9966,3.27,0.64,9.3,5.0,1.0,0.19230769230769232,12.635869565217392,0.2675679481763132
9.9,0.4,0.53,3.6500000000000004,0.097,6.0,19.0,0.9986,3.27,0.82,11.7,7.0,2.0,0.3,29.177057356608476,0.3686496313503687
8.8,0.52,0.34,2.7,0.087,24.0,122.0,0.9982,3.26,0.61,9.5,5.0,1.0,0.1951219512195122,18.234165067178502,0.30678332007726394
8.6,0.725,0.24,3.6500000000000004,0.117,31.0,122.0,1.0011875,3.32,0.9999999999999999,9.3,5.0,1.0,0.25203252032520324,12.809917355371903,0.4243692593884433
10.6,0.48,0.64,2.2,0.111,6.0,20.0,0.997,3.26,0.66,11.7,6.0,1.0,0.2857142857142857,24.324324324324323,0.20752759173662866
7.0,0.58,0.12,1.9,0.091,34.0,122.0,0.9956,3.44,0.48,10.5,5.0,1.0,0.2764227642276423,18.072289156626507,0.2713898014569347
11.9,0.38,0.51,2.0,0.11999999999999998,7.0,20.0,0.9996,3.24,0.76,10.4,6.0,1.0,0.3333333333333333,27.296587926509186,0.16805310478111082
6.8,0.77,0.0,1.8,0.066,34.0,52.0,0.9976,3.62,0.68,9.9,5.0,1.0,0.6415094339622641,12.84046692607004,0.2646669607410675
9.5,0.56,0.33,2.4,0.089,35.0,67.0,0.9972,3.28,0.73,11.8,7.0,2.0,0.5147058823529411,21.03386809269162,0.25260498894853173
6.6,0.84,0.03,2.3,0.059,32.0,48.0,0.9952,3.52,0.56,12.3,7.0,2.0,0.6530612244897959,14.625445897740786,0.3484320557491289
7.7,0.96,0.2,2.0,0.047,15.0,60.0,0.9955,3.36,0.44,10.9,5.0,1.0,0.2459016393442623,11.342351716961499,0.2597065316192702
10.5,0.24,0.47,2.1,0.066,6.0,24.0,0.9978,3.15,0.9,11.0,7.0,2.0,0.24,45.643153526970956,0.1999809541948386
7.7,0.96,0.2,2.0,0.047,15.0,60.0,0.9955,3.36,0.44,10.9,5.0,1.0,0.2459016393442623,11.342351716961499,0.2597065316192702
6.6,0.84,0.03,2.3,0.059,32.0,48.0,0.9952,3.52,0.56,12.3,7.0,2.0,0.6530612244897959,14.625445897740786,0.3484320557491289
6.4,0.67,0.08,2.1,0.045,19.0,48.0,0.9949,3.49,0.49,11.4,6.0,1.0,0.3877551020408163,16.98956780923994,0.32807373847836274
9.5,0.78,0.22,1.9,0.077,6.0,32.0,0.9988,3.26,0.56,10.6,6.0,1.0,0.18181818181818182,13.572343149807937,0.1999789495842543
9.1,0.52,0.33,1.3,0.07,9.0,30.0,0.9978,3.24,0.6,9.3,5.0,1.0,0.2903225806451613,17.850287907869482,0.14284144599494564
12.349999999999998,0.84,0.63,2.4,0.088,13.0,35.0,0.9997,3.1,0.6,10.4,6.0,1.0,0.3611111111111111,12.366230677764566,0.1943162496963809
10.5,0.24,0.47,2.1,0.066,6.0,24.0,0.9978,3.15,0.9,11.0,7.0,2.0,0.24,45.643153526970956,0.1999809541948386
7.8,0.55,0.35,2.2,0.074,21.0,66.0,0.9974,3.25,0.56,9.2,5.0,1.0,0.31343283582089554,16.69691470054446,0.2820151262658634
11.9,0.37,0.69,2.3,0.078,12.0,24.0,0.9958,3.0,0.65,12.8,6.0,1.0,0.48,34.50134770889488,0.19326107049827745
12.3,0.39,0.63,2.3,0.091,6.0,18.0,1.0004,3.16,0.49,9.5,5.0,1.0,0.3157894736842105,24.296675191815854,0.1869766685635314
10.4,0.41,0.55,3.2,0.076,22.0,54.0,0.9996,3.15,0.89,9.9,6.0,1.0,0.4,24.087591240875916,0.307662724738006
12.3,0.39,0.63,2.3,0.091,6.0,18.0,1.0004,3.16,0.49,9.5,5.0,1.0,0.3157894736842105,24.296675191815854,0.1869766685635314
8.0,0.67,0.3,2.0,0.06,38.0,62.0,0.9958,3.26,0.56,10.2,6.0,1.0,0.6031746031746031,15.201192250372577,0.2499687539057618
11.1,0.45,0.73,3.2,0.066,6.0,22.0,0.9986,3.17,0.66,11.2,6.0,1.0,0.2608695652173913,24.83370288248337,0.28826231871002617
10.4,0.41,0.55,3.2,0.076,22.0,54.0,0.9996,3.15,0.89,9.9,6.0,1.0,0.4,24.087591240875916,0.307662724738006
7.0,0.62,0.18,1.5,0.062,7.0,50.0,0.9951,3.08,0.6,9.3,5.0,1.0,0.13725490196078433,14.97584541062802,0.2142551064133695
12.349999999999998,0.31,0.72,2.2,0.072,6.0,29.0,0.9987,2.925,0.82,9.8,7.5,,0.2,31.511254019292608,0.17812322888834917
11.9,0.4,0.65,2.15,0.068,7.0,27.0,0.9988,3.06,0.68,11.3,6.0,1.0,0.25,28.179551122194514,0.18065708763969415
12.349999999999998,0.685,0.76,3.6500000000000004,0.1,6.0,43.0,1.0011875,2.95,0.68,11.2,7.0,2.0,0.13636363636363635,16.326530612244895,0.29552262974657934
10.0,0.44,0.49,2.7,0.077,11.0,19.0,0.9963,3.23,0.63,11.6,7.0,2.0,0.55,26.303854875283445,0.26997300269973007
5.3,0.57,0.01,1.7,0.054,5.0,27.0,0.9934,3.57,0.84,12.5,7.0,2.0,0.17857142857142858,21.891418563922944,0.32069420863987924
9.5,0.735,0.1,2.1,0.079,6.0,31.0,0.9986,3.23,0.56,10.1,6.0,1.0,0.1875,13.722826086956522,0.22102936532996528
12.349999999999998,0.38,0.6,2.6,0.081,31.0,72.0,0.9996,3.1,0.73,10.5,5.0,1.0,0.4246575342465753,27.559055118110237,0.21050927050441265
9.3,0.48,0.29,2.1,0.11999999999999998,6.0,16.0,0.9968,3.22,0.72,11.2,5.0,1.0,0.35294117647058826,23.284823284823283,0.22578217395978928
8.6,0.53,0.22,2.0,0.1,7.0,27.0,0.9967,3.2,0.56,10.2,6.0,1.0,0.25,19.209039548022595,0.23253110103476343
11.9,0.39,0.69,2.8,0.095,17.0,35.0,0.9994,3.1,0.61,10.8,6.0,1.0,0.4722222222222222,27.62148337595908,0.23527434669355515
11.9,0.39,0.69,2.8,0.095,17.0,35.0,0.9994,3.1,0.61,10.8,6.0,1.0,0.4722222222222222,27.62148337595908,0.23527434669355515
8.4,0.37,0.53,1.8,0.11999999999999998,9.0,26.0,0.9979,3.06,0.9999999999999999,9.1,6.0,1.0,0.3333333333333333,24.528301886792452,0.21426020711820024
6.8,0.56,0.03,1.7,0.084,18.0,35.0,0.9968,3.44,0.63,10.0,6.0,1.0,0.5,17.825311942959,0.24996324069989706
10.4,0.33,0.63,2.8,0.084,5.0,22.0,0.9998,3.26,0.74,11.2,7.0,2.0,0.21739130434782608,33.83685800604229,0.2692048841457552
7.0,0.23,0.4,1.6,0.063,21.0,67.0,0.9952,3.5,0.63,11.1,5.0,1.0,0.3088235294117647,48.051948051948045,0.22853878017426082
11.3,0.62,0.67,3.6500000000000004,0.086,6.0,19.0,0.9988,3.22,0.69,13.4,7.5,,0.3,21.578099838969404,0.3229802672329883
8.9,0.59,0.39,2.3,0.095,5.0,22.0,0.9986,3.37,0.58,10.3,5.0,1.0,0.21739130434782608,17.428087986463623,0.25839793281653745
9.2,0.63,0.21,2.7,0.097,29.0,65.0,0.9988,3.28,0.58,9.6,5.0,1.0,0.4393939393939394,15.213946117274167,0.2934463645255951
10.4,0.33,0.63,2.8,0.084,5.0,22.0,0.9998,3.26,0.74,11.2,7.0,2.0,0.21739130434782608,33.83685800604229,0.2692048841457552
11.6,0.58,0.66,2.2,0.074,10.0,47.0,1.0008,3.25,0.57,9.0,3.5,,0.20833333333333334,15.490533562822721,0.18963882423928974
9.2,0.43,0.52,2.3,0.083,14.0,23.0,0.9976,3.35,0.61,11.3,6.0,1.0,0.5833333333333334,26.218097447795827,0.24997282904032173
8.3,0.615,0.22,2.6,0.087,6.0,19.0,0.9982,3.26,0.61,9.3,5.0,1.0,0.3,15.0974025974026,0.31321527526804
11.0,0.26,0.68,2.55,0.085,10.0,25.0,0.997,3.18,0.61,11.8,5.0,1.0,0.38461538461538464,45.21072796934866,0.2317971093536951
8.1,0.66,0.7,2.2,0.098,25.0,122.0,0.9972,3.08,0.53,9.0,5.0,1.0,0.2032520325203252,13.61573373676248,0.27157141093692144
11.5,0.315,0.54,2.1,0.084,5.0,15.0,0.9987,2.98,0.7,9.2,6.0,1.0,0.3125,29.11392405063291,0.18259281801582472
10.0,0.29,0.4,2.9,0.098,10.0,26.0,1.0006,3.48,0.91,9.7,5.0,1.0,0.37037037037037035,33.333333333333336,0.28997100289971006
10.3,0.5,0.42,2.0,0.069,21.0,51.0,0.9982,3.16,0.72,11.5,6.0,1.0,0.40384615384615385,22.954091816367267,0.19415590719347636
8.8,0.46,0.45,2.6,0.065,7.0,18.0,0.9947,3.32,0.79,13.5,6.0,1.0,0.3684210526315789,29.284164859002168,0.29542097488921715
11.4,0.36,0.69,2.1,0.09,6.0,21.0,1.0,3.17,0.62,9.2,6.0,1.0,0.2727272727272727,25.484764542936286,0.18419436891500746
8.7,0.82,0.02,1.2,0.07,36.0,48.0,0.9952,3.2,0.58,9.8,5.0,1.0,0.7346938775510204,11.936662606577347,0.1379151821629698
12.349999999999998,0.32,0.65,2.6,0.093,15.0,47.0,0.9996,3.05,0.61,10.6,5.0,1.0,0.3125,33.021806853582554,0.21050927050441265
9.6,0.54,0.42,2.4,0.081,25.0,52.0,0.997,3.2,0.71,11.4,6.0,1.0,0.4716981132075472,21.072088724584102,0.24997396104572442
12.349999999999998,0.37,0.55,2.6,0.083,25.0,68.0,0.9995,3.15,0.82,10.4,6.0,1.0,0.36231884057971014,28.03234501347709,0.21050927050441265
9.9,0.35,0.55,2.1,0.062,5.0,14.0,0.9971,3.26,0.79,10.6,5.0,1.0,0.3333333333333333,30.1994301994302,0.2120997879002121
10.5,0.28,0.51,1.7,0.08,10.0,24.0,0.9982,3.2,0.89,9.4,6.0,1.0,0.4,33.45195729537366,0.1618893438720122
9.6,0.68,0.24,2.2,0.087,5.0,28.0,0.9988,3.14,0.6,10.2,5.0,1.0,0.1724137931034483,14.977973568281936,0.22914279762524742
9.3,0.27,0.41,2.0,0.091,6.0,16.0,0.998,3.28,0.7,9.7,5.0,1.0,0.35294117647058826,35.79335793357933,0.21503064186646598
10.4,0.24,0.49,1.8,0.075,6.0,20.0,0.9977,3.18,0.9999999999999999,11.0,6.0,1.0,0.2857142857142857,45.643153526970956,0.17306028266512835
9.6,0.68,0.24,2.2,0.087,5.0,28.0,0.9988,3.14,0.6,10.2,5.0,1.0,0.1724137931034483,14.977973568281936,0.22914279762524742
9.4,0.685,0.11,2.7,0.077,6.0,31.0,0.9984,3.19,0.7,10.1,6.0,1.0,0.1875,14.723032069970843,0.28720348899053294
10.6,0.28,0.39,3.6500000000000004,0.069,6.0,23.0,1.0011875,3.12,0.66,9.2,5.0,1.0,0.25,32.740213523131665,0.3443071408357703
9.4,0.3,0.56,2.8,0.08,6.0,17.0,0.9964,3.15,0.92,11.7,7.5,,0.3333333333333333,38.87043189368771,0.29784065524944153
10.6,0.36,0.59,2.2,0.11999999999999998,6.0,18.0,0.9986,3.04,0.9999999999999999,9.4,5.0,1.0,0.3157894736842105,26.038781163434905,0.20752759173662866
10.6,0.36,0.6,2.2,0.11999999999999998,7.0,18.0,0.9986,3.04,0.9999999999999999,9.4,5.0,1.0,0.3684210526315789,26.038781163434905,0.20752759173662866
10.6,0.44,0.68,3.6500000000000004,0.114,6.0,24.0,0.997,3.06,0.66,13.4,6.0,1.0,0.24,30.385487528344672,0.3443071408357703
10.2,0.67,0.39,1.9,0.054,6.0,17.0,0.9976,3.17,0.47,10.0,5.0,1.0,0.3333333333333333,14.903129657228018,0.18625624938731497
10.2,0.67,0.39,1.9,0.054,6.0,17.0,0.9976,3.17,0.47,10.0,5.0,1.0,0.3333333333333333,14.903129657228018,0.18625624938731497
10.2,0.645,0.36,1.8,0.053,5.0,14.0,0.9982,3.17,0.42,10.0,6.0,1.0,0.3333333333333333,15.479876160990711,0.1764532888932458
11.6,0.32,0.55,2.8,0.081,35.0,67.0,1.0002,3.32,0.92,10.8,7.0,2.0,0.5147058823529411,33.64485981308411,0.2413585035772778
9.3,0.39,0.4,2.6,0.073,10.0,26.0,0.9984,3.34,0.75,10.2,6.0,1.0,0.37037037037037035,26.08695652173913,0.2795398344264058
9.3,0.775,0.27,2.8,0.078,24.0,56.0,0.9984,3.31,0.67,10.6,6.0,1.0,0.42105263157894735,13.65979381443299,0.30104289861305233
9.2,0.41,0.5,2.5,0.055,12.0,25.0,0.9952,3.34,0.79,13.3,7.0,2.0,0.46153846153846156,32.360097323600975,0.2717095967829584
8.9,0.4,0.51,2.6,0.052,13.0,27.0,0.995,3.32,0.9,13.4,7.0,2.0,0.4642857142857143,33.41645885286783,0.2921020110099989
8.7,0.69,0.31,3.0,0.086,23.0,81.0,1.0002,3.48,0.74,11.6,6.0,1.0,0.2804878048780488,16.78726483357453,0.34478795540742446
6.5,0.39,0.23,3.6500000000000004,0.051,28.0,91.0,0.9952,3.44,0.55,12.1,6.0,1.0,0.30434782608695654,30.9462915601023,0.5614520842947239
10.7,0.35,0.53,2.6,0.07,5.0,16.0,0.9972,3.15,0.65,11.0,7.5,,0.29411764705882354,31.33903133903134,0.24296794692084855
7.8,0.52,0.25,1.9,0.081,14.0,38.0,0.9984,3.43,0.65,9.0,6.0,1.0,0.358974358974359,17.274472168905948,0.24355851813870016
7.2,0.34,0.32,2.5,0.09,42.0,113.0,0.9966,3.32,0.79,11.1,5.0,1.0,0.3684210526315789,32.55131964809384,0.3471740036106096
10.7,0.35,0.53,2.6,0.07,5.0,16.0,0.9972,3.15,0.65,11.0,7.5,,0.29411764705882354,31.33903133903134,0.24296794692084855
8.7,0.69,0.31,3.0,0.086,23.0,81.0,1.0002,3.48,0.74,11.6,6.0,1.0,0.2804878048780488,16.78726483357453,0.34478795540742446
7.8,0.52,0.25,1.9,0.081,14.0,38.0,0.9984,3.43,0.65,9.0,6.0,1.0,0.358974358974359,17.274472168905948,0.24355851813870016
10.4,0.44,0.73,3.6500000000000004,0.074,38.0,76.0,0.999,3.17,0.85,12.0,7.0,2.0,0.4935064935064935,27.210884353741495,0.3509277954042881
10.4,0.44,0.73,3.6500000000000004,0.074,38.0,76.0,0.999,3.17,0.85,12.0,7.0,2.0,0.4935064935064935,27.210884353741495,0.3509277954042881
10.5,0.26,0.47,1.9,0.078,6.0,24.0,0.9976,3.18,0.9999999999999999,10.9,7.0,2.0,0.24,41.76245210727969,0.1809351490334254
10.5,0.24,0.42,1.8,0.077,6.0,22.0,0.9976,3.21,0.9999999999999999,10.8,7.0,2.0,0.2608695652173913,44.81327800829876,0.1714122464527188
10.2,0.49,0.63,2.9,0.072,10.0,26.0,0.9968,3.16,0.78,12.5,7.0,2.0,0.37037037037037035,25.45824847250509,0.28428585432800707
10.4,0.24,0.46,1.8,0.075,6.0,21.0,0.9976,3.25,0.9999999999999999,10.8,7.0,2.0,0.2727272727272727,44.81327800829876,0.17306028266512835
11.2,0.67,0.55,2.3,0.084,6.0,13.0,1.0,3.17,0.71,9.5,6.0,1.0,0.42857142857142855,14.157973174366616,0.20533880903490762
10.0,0.59,0.31,2.2,0.09,26.0,62.0,0.9994,3.18,0.63,10.2,6.0,1.0,0.4126984126984127,17.258883248730964,0.21997800219978006
12.349999999999998,0.29,0.75,2.8,0.084,23.0,43.0,0.9986,3.04,0.68,11.4,7.0,2.0,0.5227272727272727,39.175257731958766,0.22670229131244438
12.349999999999998,0.42,0.49,3.6500000000000004,0.073,19.0,43.0,0.9978,3.02,0.61,9.5,5.0,1.0,0.4318181818181818,22.565320665083135,0.29552262974657934
10.0,0.59,0.31,2.2,0.09,26.0,62.0,0.9994,3.18,0.63,10.2,6.0,1.0,0.4126984126984127,17.258883248730964,0.21997800219978006
10.7,0.4,0.48,2.1,0.11999999999999998,15.0,49.0,0.998,3.03,0.81,9.7,6.0,1.0,0.3,24.18952618453865,0.1962433417437623
10.5,0.51,0.64,2.4,0.107,6.0,15.0,0.9973,3.09,0.66,11.8,7.0,2.0,0.375,23.091976516634052,0.2285496619369584
10.5,0.51,0.64,2.4,0.107,6.0,15.0,0.9973,3.09,0.66,11.8,7.0,2.0,0.375,23.091976516634052,0.2285496619369584
8.5,0.655,0.49,3.6500000000000004,0.11999999999999998,34.0,122.0,1.001,3.31,0.9999999999999999,9.3,5.0,1.0,0.2764227642276423,14.176829268292684,0.42936125161745686
12.349999999999998,0.6,0.49,3.6500000000000004,0.1,5.0,14.0,1.001,3.25,0.74,11.9,6.0,1.0,0.3333333333333333,19.800332778702163,0.29552262974657934
10.4,0.61,0.49,2.1,0.11999999999999998,5.0,16.0,0.9994,3.16,0.63,8.4,3.5,,0.29411764705882354,13.74795417348609,0.20190366310931643
10.9,0.21,0.49,2.8,0.088,11.0,32.0,0.9972,3.22,0.68,11.7,6.0,1.0,0.3333333333333333,55.45023696682464,0.2568571690670581
7.3,0.365,0.49,2.5,0.088,39.0,106.0,0.9966,3.36,0.78,11.0,5.0,1.0,0.3644859813084112,30.05464480874317,0.3424188467333242
9.8,0.25,0.49,2.7,0.088,15.0,33.0,0.9982,3.42,0.9,10.0,6.0,1.0,0.4411764705882353,39.8406374501992,0.27548209366391185
7.6,0.41,0.49,2.0,0.088,16.0,43.0,0.998,3.48,0.64,9.1,5.0,1.0,0.36363636363636365,22.14111922141119,0.26312327325351925
8.2,0.39,0.49,2.3,0.099,42.0,122.0,0.9979,3.38,0.99,9.8,5.0,1.0,0.34146341463414637,25.06393861892583,0.28045360321911966
9.3,0.4,0.49,2.5,0.085,38.0,122.0,0.9978,3.22,0.55,9.4,5.0,1.0,0.3089430894308943,23.44139650872818,0.2687883023330825
9.2,0.43,0.49,2.4,0.086,23.0,116.0,0.9976,3.23,0.64,9.5,5.0,1.0,0.19658119658119658,22.041763341067284,0.2608412129116401
10.4,0.64,0.24,2.8,0.105,29.0,53.0,0.9998,3.24,0.67,9.9,5.0,1.0,0.5370370370370371,15.444617784711388,0.2692048841457552
7.3,0.365,0.49,2.5,0.088,39.0,106.0,0.9966,3.36,0.78,11.0,5.0,1.0,0.3644859813084112,30.05464480874317,0.3424188467333242
7.0,0.38,0.49,2.5,0.097,33.0,85.0,0.9962,3.39,0.77,11.4,6.0,1.0,0.38372093023255816,29.921259842519685,0.3570918440222825
8.2,0.42,0.49,2.6,0.084,32.0,55.0,0.9988,3.34,0.75,8.7,6.0,1.0,0.5714285714285714,20.665083135391924,0.3170345079868309
9.9,0.63,0.24,2.4,0.077,6.0,33.0,0.9974,3.09,0.57,9.4,5.0,1.0,0.17647058823529413,14.896988906497624,0.2423997576002424
9.1,0.22,0.24,2.1,0.078,1.0,28.0,0.999,3.41,0.87,10.3,6.0,1.0,0.034482758620689655,46.606334841628964,0.23074387429952756
11.9,0.38,0.49,2.7,0.098,12.0,42.0,1.0004,3.16,0.61,10.3,5.0,1.0,0.27906976744186046,27.03412073490814,0.22687169145449965
11.9,0.38,0.49,2.7,0.098,12.0,42.0,1.0004,3.16,0.61,10.3,5.0,1.0,0.27906976744186046,27.03412073490814,0.22687169145449965
10.3,0.27,0.24,2.1,0.072,15.0,33.0,0.9956,3.22,0.66,12.8,6.0,1.0,0.4411764705882353,47.23247232472325,0.20386370255315017
10.0,0.48,0.24,2.7,0.102,13.0,32.0,1.0,3.28,0.56,10.0,6.0,1.0,0.3939393939393939,20.79002079002079,0.26997300269973007
9.1,0.22,0.24,2.1,0.078,1.0,28.0,0.999,3.41,0.87,10.3,6.0,1.0,0.034482758620689655,46.606334841628964,0.23074387429952756
9.9,0.63,0.24,2.4,0.077,6.0,33.0,0.9974,3.09,0.57,9.4,5.0,1.0,0.17647058823529413,14.896988906497624,0.2423997576002424
8.1,0.825,0.24,2.1,0.084,5.0,13.0,0.9972,3.37,0.77,10.7,6.0,1.0,0.35714285714285715,12.953995157384988,0.2592272558943341
12.349999999999998,0.35,0.49,3.6500000000000004,0.066,5.0,35.0,1.0011875,3.2,0.66,12.0,7.0,2.0,0.1388888888888889,34.18803418803419,0.29552262974657934
11.2,0.5,0.74,3.6500000000000004,0.1,5.0,17.0,0.9996,3.22,0.62,11.2,5.0,1.0,0.2777777777777778,22.355289421157682,0.3258637621640926
9.2,0.59,0.24,3.3,0.101,20.0,47.0,0.9988,3.26,0.67,9.6,5.0,1.0,0.4166666666666667,16.243654822335024,0.3586566677535051
9.5,0.46,0.49,3.6500000000000004,0.064,5.0,17.0,0.9988,3.21,0.73,11.0,6.0,1.0,0.2777777777777778,23.86117136659436,0.3841700873592254
9.3,0.715,0.24,2.1,0.07,5.0,20.0,0.9966,3.12,0.59,9.9,5.0,1.0,0.23809523809523808,13.8268156424581,0.22578217395978928
11.2,0.66,0.24,2.5,0.085,16.0,53.0,0.9993,3.06,0.72,11.0,6.0,1.0,0.2962962962962963,16.64145234493192,0.22319435764663872
12.349999999999998,0.31,0.74,1.8,0.075,6.0,15.0,1.0008,2.925,0.79,8.4,6.0,1.0,0.375,27.009646302250804,0.14573718727228568
